"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Weighting_Capabilities"
"05/26/2019 17:26:53:204 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","report_time","companies_utility_sector","weighting_capabilities","large_socialnetwork_group","renovations_cheaper","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","9.141229874530184E-5","8.419290422353327E-5","4.680303022719985E-5","8.336711559539331E-5","8.413034447897732E-5","9.141229874530184E-5","5.8394655785161746E-5","1.3773987491387505E-4","1.6051996323155157E-4","4.680303022719985E-5","8.336711559539331E-5","8.413034447897732E-5","5.61619680127831E-5","6.118064974272327E-5","1.727816731645389E-4"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","7.792441781901869E-5","6.940628300026516E-5","3.690023972893976E-5","6.668618530696815E-5","7.420086182304124E-5","7.792441781901869E-5","5.290051999659777E-5","1.4821654680219579E-4","1.9505294222649236E-4","3.690023972893976E-5","6.668618530696815E-5","7.420086182304124E-5","4.786404349487166E-5","5.836907580072479E-5","1.9190326762057782E-4"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","6.984003056252015E-5","6.34005475228841E-5","3.9714594104035315E-5","6.216937175002105E-5","6.269987838385645E-5","6.984003056252015E-5","5.3461055307819016E-5","1.283325575925016E-4","1.5422061401972327E-4","3.9714594104035315E-5","6.216937175002105E-5","6.269987838385645E-5","4.9762523209665435E-5","5.466220240329573E-5","1.563092753579671E-4"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","7.33450445175138E-5","6.441151299490996E-5","3.643479522944417E-5","6.812756182153924E-5","7.06424635526926E-5","7.33450445175138E-5","4.8829965950816095E-5","1.2446886776871659E-4","1.4889219204339813E-4","3.643479522944417E-5","6.812756182153924E-5","7.06424635526926E-5","4.801418688180549E-5","5.3821399436461905E-5","1.629506178400372E-4"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","0.0025311839473363697","0.0027164275216164744","-2.316211982444639E-4","0.0013885927727646543","0.0016436697045678617","0.0025311839473363697","-1.8380516356095763E-4","0.0013881228795722112","0.0016647342656681558","-2.316211982444639E-4","0.0013885927727646543","0.0016436697045678617","-4.277418267785904E-5","-6.526232552095421E-5","0.001012049840931422"
"6","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","6.446823382997548E-5","5.5888373396593665E-5","2.9975293071549125E-5","5.551801970882197E-5","6.250969676040645E-5","6.446823382997548E-5","4.498666596970686E-5","1.3128092884259965E-4","1.7449108342911836E-4","2.9975293071549125E-5","5.551801970882197E-5","6.250969676040645E-5","4.100805157814796E-5","5.0639471806689895E-5","1.7232123344460647E-4"
"8","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","5.760167626750178E-5","5.106209763657605E-5","3.2248575167061826E-5","5.15825947112824E-5","5.2636934939533794E-5","5.760167626750178E-5","4.518314990816271E-5","1.1201697621228323E-4","1.3591646689254977E-4","3.2248575167061826E-5","5.15825947112824E-5","5.2636934939533794E-5","4.238825856470769E-5","4.718728608043009E-5","1.384388757930493E-4"
"7","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","6.122847319189793E-5","5.220485563713329E-5","2.985851488171237E-5","5.7489902857228316E-5","6.0537813611999184E-5","6.122847319189793E-5","4.174875895369063E-5","1.1086254039273994E-4","1.343149374319118E-4","2.985851488171237E-5","5.7489902857228316E-5","6.0537813611999184E-5","4.155412863729442E-5","4.7289606018193677E-5","1.4815482118756736E-4"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","0.003276775987734932","0.0032012421862879017","-5.651030067049295E-4","0.001794921650175916","0.0023693677461976183","0.003276775987734932","-6.01358742043289E-4","0.001933406403114961","0.0025946011774577865","-5.651030067049295E-4","0.001794921650175916","0.0023693677461976183","-2.8544927072031277E-4","-4.3115174992132215E-4","0.0014948375698792347"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","5","0.003356561071378704","0.0031817519064039463","-6.608221963087837E-4","0.0018377917577953595","0.0025016891131030136","0.003356561071378704","-7.282895906333346E-4","0.0020226260523244026","0.0027935745303431293","-6.608221963087837E-4","0.0018377917577953595","0.0025016891131030136","-3.6348935455593793E-4","-5.487640696867111E-4","0.0015882968234664113"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
